feature,importance
total_amount,0.8438066238079964
txn_count,0.032657716187701115
amount_trend_14d,0.029818777198256458
amount_trend_7d,0.025135082997027748
avg_amount_last_30d,0.016417756281026895
cat_Utility,0.012902320380876929
avg_amount_lag_14,0.0060816027303252015
volume_trend_14d,0.004419151712077278
volume_trend_30d,0.004145904103658899
avg_amount_lag_7,0.0034485960205621192
volume_trend_7d,0.0025748743955942544
avg_amount_lag_1,0.002356390798322995
amount_trend_30d,0.0023194337617527747
avg_amount_lag_3,0.0019146378820271489
cat_Mobile,0.001809259516324308
txn_count_last_7d,0.0010629061062011563
txn_count_last_30d,0.0010280831377907794
avg_amount_last_14d,0.0006467912212896846
txn_count_last_14d,0.0006377569405437136
total_amount_lag_1,0.0005941296113624225
avg_amount_last_7d,0.0005865579599179805
days_to_month_end,0.0005197231680869081
cat_Water,0.0004638024645531298
txn_count_lag_1,0.0004417620243989648
total_amount_lag_7,0.0004244128827535004
total_amount_lag_14,0.00035975885231492833
total_amount_last_14d,0.0003220014648910008
day,0.00028189245123177303
total_amount_last_7d,0.0002619140408403853
cat_Credit Card,0.0002492698577965301
total_amount_last_30d,0.00024529341185792683
total_amount_lag_3,0.00024336636384129982
cat_Loan,0.00024246949433538858
cat_Electicity,0.00023068791185426493
date_ordinal,0.00019323777795636143
day_of_week_sin,0.00019193254579905378
txn_count_lag_3,0.00015868619398084468
txn_count_lag_14,0.00014418367987788737
month_sin,0.00013635167402073427
day_of_week,0.0001236451150781145
day_of_week_cos,8.164855705429649e-05
txn_count_lag_7,7.34282286385528e-05
month,6.978401135587206e-05
quarter,5.975974548765285e-05
cat_IIFLOOOOONATD9,4.832633346390759e-05
month_cos,3.9412340021215687e-05
is_weekend,1.4910236980912529e-05
year,6.331809397707069e-06
is_month_end,6.161875147603511e-06
is_month_start,1.492736347016795e-06
